dyad_season_year,dyad_ID,PackID,species,SA,season,season2,den,rend,winter,Cohesion,BreedPair,PackSize,Human,PCV,Long,Lat
SC27M_SC31F_den_2016,SC27M_SC31F,Mt. Calvary,coyote,SouthCarolina_Johnston,den,nw,1,0,0,0.34375,1,2,0.335459784,2.463886306,-81.71506582,33.76229633
SC27M_SC31F_rend_2016,SC27M_SC31F,Mt. Calvary,coyote,SouthCarolina_Johnston,rend,nw,0,1,0,0.300653595,1,2,0.330578529,2.384709674,-81.71735581,33.75879722
SC27M_SC31F_winter_2015_2016,SC27M_SC31F,Mt. Calvary,coyote,SouthCarolina_Johnston,winter,winter,0,0,1,0.697761194,1,2,0.347434197,2.363450287,-81.7181392,33.76152029
SC27M_SC31F_winter_2016_2017,SC27M_SC31F,Mt. Calvary,coyote,SouthCarolina_Johnston,winter,winter,0,0,1,0.5,1,2,0.326210411,2.678759615,-81.7196271,33.76252491
AL11M_AL19F_den_2015,AL11M_AL19F,Grant,coyote,Alabama_W_Eufaulia,den,nw,1,0,0,0.273273273,0,2,0.117086788,2.32400209,-85.38672747,32.01042487
AL11M_AL19F_rend_2015,AL11M_AL19F,Grant,coyote,Alabama_W_Eufaulia,rend,nw,0,1,0,0.451038576,0,2,0.111500262,2.104823898,-85.38582351,32.00884416
AL11M_AL19F_winter_2014_2015,AL11M_AL19F,Grant,coyote,Alabama_W_Eufaulia,winter,winter,0,0,1,0.597796143,0,2,0.113579105,2.134083031,-85.38539778,32.00981387
AL11M_AL19F_winter_2015_2016,AL11M_AL19F,Grant,coyote,Alabama_W_Eufaulia,winter,winter,0,0,1,0.628571429,1,2,0.106822733,2.222379076,-85.39064675,32.00324937
AL16F_AL20M_den_2015,AL16F_AL20M,East Pine Grove,coyote,Alabama_E_Montgomery,den,nw,1,0,0,0.860946746,1,2,0.161516916,2.508401853,-85.70163771,32.3020893
AL16F_AL20M_rend_2015,AL16F_AL20M,East Pine Grove,coyote,Alabama_E_Montgomery,rend,nw,0,1,0,0.838278932,1,2,0.162827253,2.233257368,-85.70316923,32.30190629
AL16F_AL20M_winter_2014_2015,AL16F_AL20M,East Pine Grove,coyote,Alabama_E_Montgomery,winter,winter,0,0,1,0.715068493,1,2,0.177033056,2.2247213,-85.70113484,32.30165235
AL16F_AL20M_winter_2015_2016,AL16F_AL20M,East Pine Grove,coyote,Alabama_E_Montgomery,winter,winter,0,0,1,0.879093199,1,2,0.171349691,2.370244076,-85.7021251,32.30375983
c46F_c47M_winter_2012_2013,c46F_c47M,DenaliCoy1,coyote,Alaska_Denali,winter,winter,0,0,1,0.333333333,1,2,1.67E-05,1.789607321,-149.5117624,63.76243657
c49F_c48M_den_2013,c49F_c48M,DenaliCoy2,coyote,Alaska_Denali,den,nw,1,0,0,0.1875,1,2,0.044021341,1.981887484,-149.0745513,63.80426435
c49F_c48M_rend_2013,c49F_c48M,DenaliCoy2,coyote,Alaska_Denali,rend,nw,0,1,0,0.163265306,1,2,0.060065133,2.259024802,-149.0871883,63.81651763
c49F_c48M_winter_2012_2013,c49F_c48M,DenaliCoy2,coyote,Alaska_Denali,winter,winter,0,0,1,0.431818182,1,2,0.055176945,1.78288313,-149.0700167,63.80871536
20443F_20496M_den_2009,20443F_20496M,Travis,coyote,NorthCarolina_AlligatorNWR,den,nw,1,0,0,0.288107203,1,3,0.521327572,2.338327652,-76.3187744,35.89462407
20443F_20496M_rend_2009,20443F_20496M,Travis,coyote,NorthCarolina_AlligatorNWR,rend,nw,0,1,0,0.321178121,1,3,0.50039155,2.772773234,-76.31228579,35.89706598
20443F_20496M_winter_2008_2009,20443F_20496M,Travis,coyote,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.307931571,1,3,0.518320473,2.384740629,-76.32234391,35.89502999
20443F_20496M_winter_2009_2010,20443F_20496M,Travis,coyote,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.506645817,1,3,0.501322983,2.876148189,-76.31140198,35.89439717
AL14M_AL26M_den_2015,AL14M_AL26M,Hwy 82,coyote,Alabama_W_Eufaulia,den,nw,1,0,0,0.099678457,0,3,0.114325229,2.311938276,-85.4102137,32.02964661
