dyad_season_year,dyad_ID,PackID,Species1,Species2,GW,EW,RW,Mixed,SA,season1,season2,den,rend,winter,Cohesion,BreedPair,FF,MM,FM,Same,Exploit,LargePred,Prey,Beaver,Human,PCV,Long,Lat
BQE1411_BQE1415_winter_2014_2015,BQE1411_BQE1415,Pauper,Admixed,wolf,0,0,0,1,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.706408346,0,0,1,0,1,0,1,0,1,0.049316833,1.5975186,-78.93186403,44.99754314
BQE1411_BQE1415_rend_2014,BQE1411_BQE1415,Pauper,Admixed,wolf,0,0,0,1,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.283464567,0,0,1,0,1,0,1,0,1,0.043179368,1.608354463,-78.92043778,45.00738847
BQE1411_BQE1521_winter_2014_2015,BQE1411_BQE1521,Pauper,Admixed,wolf,0,0,0,1,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.732368897,1,0,0,1,0,0,1,0,1,0.048247772,1.679320749,-78.94324349,44.99495889
BW1623_BW1708_winter_2016_2017,BW1623_BW1708,White Partridge,Admixed,wolf,0,0,0,1,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.733624454,1,0,0,1,0,0,1,1,1,0.007287955,1.959011773,-78.09351892,45.84682911
BQE1411_BQE1521_rend_2015,BQE1411_BQE1521,Pauper,Admixed,wolf,0,0,0,1,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.270833333,1,0,0,1,0,0,1,0,1,0.05586123,1.684232648,-78.9582589,44.99800795
BQE1411_BQE1521_den_2015,BQE1411_BQE1521,Pauper,Admixed,wolf,0,0,0,1,Ontario_Algonquin_Kawartha,den,nw,1,0,0,0.288834951,1,0,0,1,0,0,1,0,1,0.051236372,1.70580602,-78.95299127,44.99437817
BW1623_BW1708_rend_2017,BW1623_BW1708,White Partridge,Admixed,wolf,0,0,0,1,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.323129252,1,0,0,1,0,0,1,1,1,0.007278458,1.726708735,-78.0631593,45.83920287
BW1623_BW1708_den_2017,BW1623_BW1708,White Partridge,Admixed,wolf,0,0,0,1,Ontario_Algonquin_Kawartha,den,nw,1,0,0,0.471014493,1,0,0,1,0,0,1,1,1,0.008081462,1.858776258,-78.08593151,45.82786844
JSW237_JSW241_den_2009,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,den,nw,1,0,0,0.272727273,0,0,0,1,0,1,1,1,1,1.60E-05,1.977734218,-141.7598531,65.02339269
JSW237_JSW241_den_2010,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,den,nw,1,0,0,0.5,0,0,0,1,0,1,1,1,1,2.86E-05,2.250665478,-141.8947391,65.01092868
