dyad_season_year,dyad_ID,ID1,ID2,PackID,Species1,species2,coyote,wolf,GW,EW,RW,Mixed,SA,season,season2,den,rend,winter,Cohesion,LoCoOL,KernelOL,Adult
BQE1411_BQE1415_rend_2014,BQE1411_BQE1415,BQE1411,BQE1415,Pauper,Admixed,wolf,0,1,0,0,0,1,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.283464567,0.732677975,0.95639036,1
BQE1411_BQE1415_winter_2014_2015,BQE1411_BQE1415,BQE1411,BQE1415,Pauper,Admixed,wolf,0,1,0,0,0,1,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.706408346,0.911240146,0.995385228,1
BQE1411_BQE1521_den_2015,BQE1411_BQE1521,BQE1411,BQE1521,Pauper,Admixed,wolf,0,1,0,0,0,1,Ontario_Algonquin_Kawartha,den,nw,1,0,0,0.288834951,0.474879221,0.864179182,1
BQE1411_BQE1521_rend_2015,BQE1411_BQE1521,BQE1411,BQE1521,Pauper,Admixed,wolf,0,1,0,0,0,1,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.270833333,0.446359297,0.847845178,1
BQE1411_BQE1521_winter_2014_2015,BQE1411_BQE1521,BQE1411,BQE1521,Pauper,Admixed,wolf,0,1,0,0,0,1,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.732368897,0.886599508,0.992385484,0
BW1623_BW1708_den_2017,BW1623_BW1708,BW1623,BW1708,White Partridge,Admixed,wolf,0,1,0,0,0,1,Ontario_Algonquin_Kawartha,den,nw,1,0,0,0.471014493,0.659364008,0.939790346,1
BW1623_BW1708_rend_2017,BW1623_BW1708,BW1623,BW1708,White Partridge,Admixed,wolf,0,1,0,0,0,1,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.323129252,0.68367835,0.95542838,1
BW1623_BW1708_winter_2016_2017,BW1623_BW1708,BW1623,BW1708,White Partridge,Admixed,wolf,0,1,0,0,0,1,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.733624454,0.850713591,0.993818479,1
20443F_20496M_den_2009,20443F_20496M,20443F,20496M,Travis,coyote,coyote,1,0,0,0,0,0,NorthCarolina_AlligatorNWR,den,nw,1,0,0,0.288107203,0.613533935,0.956487333,1
20443F_20496M_rend_2009,20443F_20496M,20443F,20496M,Travis,coyote,coyote,1,0,0,0,0,0,NorthCarolina_AlligatorNWR,rend,nw,0,1,0,0.321178121,0.568340102,0.919388281,1
20443F_20496M_winter_2008_2009,20443F_20496M,20443F,20496M,Travis,coyote,coyote,1,0,0,0,0,0,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.307931571,0.572246732,0.940864604,1
20443F_20496M_winter_2009_2010,20443F_20496M,20443F,20496M,Travis,coyote,coyote,1,0,0,0,0,0,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.506645817,0.833505364,0.961422475,1
AL07M_AL10F_den_2015,AL07M_AL10F,AL07M,AL10F,West Pine Grove,coyote,coyote,1,0,0,0,0,0,Alabama_E_Montgomery,den,nw,1,0,0,0.204081633,0.673707615,0.949739386,0
AL07M_AL10F_winter_2014_2015,AL07M_AL10F,AL07M,AL10F,West Pine Grove,coyote,coyote,1,0,0,0,0,0,Alabama_E_Montgomery,winter,winter,0,0,1,0.370030581,0.773533549,0.975511124,0
AL07M_AL15F_den_2015,AL07M_AL15F,AL07M,AL15F,West Pine Grove,coyote,coyote,1,0,0,0,0,0,Alabama_E_Montgomery,den,nw,1,0,0,0.224550898,0.681618876,0.943583689,0
AL07M_AL15F_rend_2015,AL07M_AL15F,AL07M,AL15F,West Pine Grove,coyote,coyote,1,0,0,0,0,0,Alabama_E_Montgomery,rend,nw,0,1,0,0.299180328,0.575431001,0.953129089,0
AL07M_AL15F_winter_2014_2015,AL07M_AL15F,AL07M,AL15F,West Pine Grove,coyote,coyote,1,0,0,0,0,0,Alabama_E_Montgomery,winter,winter,0,0,1,0.415204678,0.791125997,0.977333562,0
AL10F_AL15F_winter_2014_2015,AL10F_AL15F,AL10F,AL15F,West Pine Grove,coyote,coyote,1,0,0,0,0,0,Alabama_E_Montgomery,winter,winter,0,0,1,0.337278107,0.729404852,0.982909537,0
AL11M_AL19F_den_2015,AL11M_AL19F,AL11M,AL19F,Grant,coyote,coyote,1,0,0,0,0,0,Alabama_W_Eufaulia,den,nw,1,0,0,0.273273273,0.708430077,0.97461704,0
AL11M_AL19F_rend_2015,AL11M_AL19F,AL11M,AL19F,Grant,coyote,coyote,1,0,0,0,0,0,Alabama_W_Eufaulia,rend,nw,0,1,0,0.451038576,0.866299722,0.983223971,0
AL11M_AL19F_winter_2014_2015,AL11M_AL19F,AL11M,AL19F,Grant,coyote,coyote,1,0,0,0,0,0,Alabama_W_Eufaulia,winter,winter,0,0,1,0.597796143,0.885414343,0.98194238,0
AL11M_AL19F_winter_2015_2016,AL11M_AL19F,AL11M,AL19F,Grant,coyote,coyote,1,0,0,0,0,0,Alabama_W_Eufaulia,winter,winter,0,0,1,0.628571429,0.898341311,0.991756026,0
AL14M_AL26M_den_2015,AL14M_AL26M,AL14M,AL26M,Hwy 82,coyote,coyote,1,0,0,0,0,0,Alabama_W_Eufaulia,den,nw,1,0,0,0.099678457,0.512142914,0.819345879,1
AL14M_AL26M_rend_2015,AL14M_AL26M,AL14M,AL26M,Hwy 82,coyote,coyote,1,0,0,0,0,0,Alabama_W_Eufaulia,rend,nw,0,1,0,0.094814815,0.714448131,0.907784942,1
AL14M_AL26M_winter_2014_2015,AL14M_AL26M,AL14M,AL26M,Hwy 82,coyote,coyote,1,0,0,0,0,0,Alabama_W_Eufaulia,winter,winter,0,0,1,0.057377049,0.577426306,0.891507816,1
AL14M_AL26M_winter_2015_2016,AL14M_AL26M,AL14M,AL26M,Hwy 82,coyote,coyote,1,0,0,0,0,0,Alabama_W_Eufaulia,winter,winter,0,0,1,0.108291032,0.495541714,0.815651802,1
AL16F_AL20M_den_2015,AL16F_AL20M,AL16F,AL20M,East Pine Grove,coyote,coyote,1,0,0,0,0,0,Alabama_E_Montgomery,den,nw,1,0,0,0.860946746,0.833560325,0.99433081,1
AL16F_AL20M_rend_2015,AL16F_AL20M,AL16F,AL20M,East Pine Grove,coyote,coyote,1,0,0,0,0,0,Alabama_E_Montgomery,rend,nw,0,1,0,0.838278932,0.921844506,0.996689896,1
AL16F_AL20M_winter_2014_2015,AL16F_AL20M,AL16F,AL20M,East Pine Grove,coyote,coyote,1,0,0,0,0,0,Alabama_E_Montgomery,winter,winter,0,0,1,0.715068493,0.812563289,0.987499694,0
AL16F_AL20M_winter_2015_2016,AL16F_AL20M,AL16F,AL20M,East Pine Grove,coyote,coyote,1,0,0,0,0,0,Alabama_E_Montgomery,winter,winter,0,0,1,0.879093199,0.931045419,0.995491282,1
AL27F_AL28M_winter_2015_2016,AL27F_AL28M,AL27F,AL28M,Joyes,coyote,coyote,1,0,0,0,0,0,Alabama_Troy,winter,winter,0,0,1,0.194029851,0.561754493,0.916037095,0
AL27F_AL32M_winter_2015_2016,AL27F_AL32M,AL27F,AL32M,Joyes,coyote,coyote,1,0,0,0,0,0,Alabama_Troy,winter,winter,0,0,1,0.062992126,0.371255934,0.779685675,0
AL38M_AL39M_den_2016,AL38M_AL39M,AL38M,AL39M,Childs,coyote,coyote,1,0,0,0,0,0,Alabama_Troy,den,nw,1,0,0,0.06779661,0.436063544,0.684922871,0
AL38M_AL39M_rend_2016,AL38M_AL39M,AL38M,AL39M,Childs,coyote,coyote,1,0,0,0,0,0,Alabama_Troy,rend,nw,0,1,0,0.067365269,0.684482889,0.936738986,0
AL38M_AL39M_winter_2015_2016,AL38M_AL39M,AL38M,AL39M,Childs,coyote,coyote,1,0,0,0,0,0,Alabama_Troy,winter,winter,0,0,1,0.123258307,0.659493223,0.919674498,0
AL38M_AL40M_winter_2015_2016,AL38M_AL40M,AL38M,AL40M,Childs,coyote,coyote,1,0,0,0,0,0,Alabama_Troy,winter,winter,0,0,1,0.063186813,0.36120486,0.672180208,0
AL38M_AL48M_rend_2016,AL38M_AL48M,AL38M,AL48M,Childs,coyote,coyote,1,0,0,0,0,0,Alabama_Troy,rend,nw,0,1,0,0.055737705,0.763610887,0.956357495,0
AL38M_AL48M_winter_2015_2016,AL38M_AL48M,AL38M,AL48M,Childs,coyote,coyote,1,0,0,0,0,0,Alabama_Troy,winter,winter,0,0,1,0.16395112,0.776925953,0.973265011,0
AL38M_AL53M_winter_2015_2016,AL38M_AL53M,AL38M,AL53M,Childs,coyote,coyote,1,0,0,0,0,0,Alabama_Troy,winter,winter,0,0,1,0.233196159,0.80639024,0.954810773,0
AL39M_AL48M_den_2016,AL39M_AL48M,AL39M,AL48M,Childs,coyote,coyote,1,0,0,0,0,0,Alabama_Troy,den,nw,1,0,0,0.123595506,0.671743328,0.93366084,0
AL39M_AL48M_rend_2016,AL39M_AL48M,AL39M,AL48M,Childs,coyote,coyote,1,0,0,0,0,0,Alabama_Troy,rend,nw,0,1,0,0.076175041,0.733311443,0.958403092,0
AL39M_AL48M_winter_2015_2016,AL39M_AL48M,AL39M,AL48M,Childs,coyote,coyote,1,0,0,0,0,0,Alabama_Troy,winter,winter,0,0,1,0.194499018,0.700800269,0.934579989,0
AL39M_AL53M_winter_2015_2016,AL39M_AL53M,AL39M,AL53M,Childs,coyote,coyote,1,0,0,0,0,0,Alabama_Troy,winter,winter,0,0,1,0.152380952,0.672618168,0.872937278,0
AL39M_AL54F_winter_2015_2016,AL39M_AL54F,AL39M,AL54F,Childs,coyote,coyote,1,0,0,0,0,0,Alabama_Troy,winter,winter,0,0,1,0.075075075,0.398935881,0.672738471,0
AL46F_AL47M_winter_2015_2016,AL46F_AL47M,AL46F,AL47M,Parker Hill,coyote,coyote,1,0,0,0,0,0,Alabama_Troy,winter,winter,0,0,1,0.723897912,0.916852646,0.994909354,0
AL48M_AL53M_winter_2015_2016,AL48M_AL53M,AL48M,AL53M,Childs,coyote,coyote,1,0,0,0,0,0,Alabama_Troy,winter,winter,0,0,1,0.120822622,0.750864646,0.904348834,0
AL48M_AL54F_winter_2015_2016,AL48M_AL54F,AL48M,AL54F,Childs,coyote,coyote,1,0,0,0,0,0,Alabama_Troy,winter,winter,0,0,1,0.06360424,0.343021449,0.648835505,0
ANG_MLX_winter_2006_2007,ANG_MLX,ANG,MLX,ET,coyote,coyote,1,0,0,0,0,0,California_S_Corona,winter,winter,0,0,1,0.175305148,0.836921068,0.962038288,0
ANG_SCH_winter_2006_2007,ANG_SCH,ANG,SCH,ET,coyote,coyote,1,0,0,0,0,0,California_S_Corona,winter,winter,0,0,1,0.248504879,0.890644475,0.988647791,0
ART_CIF_den_2009,ART_CIF,ART,CIF,Caltrans,coyote,coyote,1,0,0,0,0,0,California_N_Corona,den,nw,1,0,0,0.241488879,0.69927675,0.960531824,1
ART_CIF_rend_2009,ART_CIF,ART,CIF,Caltrans,coyote,coyote,1,0,0,0,0,0,California_N_Corona,rend,nw,0,1,0,0.146422629,0.526184503,0.893020774,1
