dyad_season_year,dyad_ID,PackID,Species1,Species2,GW,EW,RW,Mixed,SA,season,season2,den,rend,winter,Cohesion,Adult,Exploit,LargePred,Prey,Beaver,PackSize,Human,PCV,Long,Lat
Mich02_Mich06_winter_2017_2018,Mich02_Mich06,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.275362319,1,0,0,0,1,18,0.002638806,1.827436421,-85.75556686,47.74098011
Mich03_Mich10_winter_2017_2018,Mich03_Mich10,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.909090909,1,0,0,0,1,18,0.008077744,1.861984387,-85.79328436,47.73380785
Mich02_Mich12_winter_2017_2018,Mich02_Mich12,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.454545455,1,0,0,0,1,18,0.008671728,1.922020927,-85.77661785,47.73550102
Mich02_Mich05_winter_2017_2018,Mich02_Mich05,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.208654649,1,0,0,0,1,18,0.008433083,1.933214425,-85.78752272,47.74022823
Mich03_Mich12_winter_2017_2018,Mich03_Mich12,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.328467153,1,0,0,0,1,18,0.008038139,1.939703737,-85.77894272,47.73577012
Mich02_Mich03_winter_2017_2018,Mich02_Mich03,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.770833333,1,0,0,0,1,18,0.007112122,1.945833003,-85.78562059,47.73611519
Mich07_Mich10_winter_2017_2018,Mich07_Mich10,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.714285714,0,0,0,0,1,18,0.010045636,1.861196285,-85.80574283,47.7329305
Mich10_Mich11_winter_2017_2018,Mich10_Mich11,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.594594595,0,0,0,0,1,18,0.011431187,1.867132859,-85.77621301,47.72808743
Mich08_Mich12_winter_2017_2018,Mich08_Mich12,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.714285714,0,0,0,0,1,18,0.007604271,1.917216171,-85.75728925,47.74059718
Mich03_Mich07_winter_2017_2018,Mich03_Mich07,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.446969697,0,0,0,0,1,18,0.008459269,1.920691331,-85.79205819,47.73808959
Mich03_Mich08_winter_2017_2018,Mich03_Mich08,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.848484848,0,0,0,0,1,18,0.009842065,1.922278953,-85.78424711,47.73541829
Mich02_Mich11_winter_2017_2018,Mich02_Mich11,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.441860465,0,0,0,0,1,18,0.008718316,1.92419394,-85.78717916,47.73494944
Mich02_Mich08_winter_2017_2018,Mich02_Mich08,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.553105363,0,0,0,0,1,18,0.007800338,1.925042174,-85.77588339,47.73968309
Mich08_Mich11_winter_2017_2018,Mich08_Mich11,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.692307692,0,0,0,0,1,18,0.009289847,1.932088076,-85.78116219,47.73219446
Mich05_Mich07_winter_2017_2018,Mich05_Mich07,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.322580645,0,0,0,0,1,18,0.008635891,1.936118501,-85.80856101,47.73545732
